Order_ID,Order_Date,Year,Quarter,Month,Month_Name,Year_Month,Customer_ID,Customer_Name,Customer_Segment,Customer_Since,Customer_Tenure_Days,Customer_Tenure_Years,City,State,Region,Product_ID,Product_Name,Category,Subcategory,Brand,Sales_Channel,Quantity,Unit_Price,Discount,Discount_Percent,Discount_Amount,Discount_Per_Unit,Unit_Cost,Gross_Sales,Revenue,Revenue_Per_Unit,COGS,Gross_Profit,Profit_Per_Unit,Gross_Margin,Day_Name
ORD00001,2025-04-07,2025,Q2,4,April,2025-04,CUS0844,Siddharth Ray,Small Business,2025-02-14,52,0.1423682409308693,Warangal,Telangana,South,PROD027,Stapler,Office Supplies,Desk Supplies,WriteWell,Online,1,289.19,0.1,10,28.92,28.92,150.38,289.19,260.27,260.27,150.38,109.89,109.89,0.4222153917086103,Monday
ORD00002,2023-07-11,2023,Q3,7,July,2023-07,CUS0863,Barkha Misra,Corporate,2021-12-02,586,1.604380561259411,Warangal,Telangana,South,PROD020,Office Storage Box,Furniture,Storage,OrganizeIt,Store,10,1143.81,0.05,5,571.91,57.191,686.29,11438.1,10866.19,1086.619,6862.9,4003.29,400.329,0.3684170808719524,Tuesday
ORD00003,2025-11-24,2025,Q4,11,November,2025-11,CUS0372,Tanveer Doctor,Consumer,2025-09-02,83,0.2272416153319644,Noida,Uttar Pradesh,North,PROD003,USB-C Hub,Electronics,Computer Accessories,TechCore,Online,3,1745.79,0.1,10,523.74,174.58,995.1,5237.37,4713.63,1571.21,2985.3,1728.33,576.11,0.3666664545159463,Monday
ORD00004,2023-01-14,2023,Q1,1,January,2023-01,CUS0874,Gautami Chakraborty,Corporate,2022-11-22,53,0.1451060917180014,Madurai,Tamil Nadu,South,PROD022,Gel Pen Pack,Office Supplies,Writing & Paper,WriteWell,Store,8,293.35,0.1,10,234.68,29.335,143.74,2346.8,2112.12,264.015,1149.92,962.2,120.275,0.4555612370509252,Saturday
ORD00005,2025-10-06,2025,Q4,10,October,2025-10,CUS0898,Siddharth Bains,Corporate,2025-04-17,172,0.4709103353867214,Hyderabad,Telangana,South,PROD039,Air Purifier,Home & Lifestyle,Home Essentials,AirPure,Online,4,11586.58,0.2,20,9269.26,2317.315,8110.61,46346.32,37077.06,9269.265,32442.44,4634.62,1158.655,0.1249996628643156,Monday
ORD00006,2025-06-11,2025,Q2,6,June,2025-06,CUS0174,Bhavani Singh,Consumer,2025-01-27,135,0.3696098562628337,Vadodara,Gujarat,West,PROD022,Gel Pen Pack,Office Supplies,Writing & Paper,WriteWell,Online,2,295.32,0.0,0,0.0,0.0,144.71,590.64,590.64,295.32,289.42,301.22,150.61,0.5099891642963565,Wednesday
ORD00007,2025-02-06,2025,Q1,2,February,2025-02,CUS0919,Onkar Narasimhan,Corporate,2024-01-16,387,1.059548254620123,Lucknow,Uttar Pradesh,North,PROD026,Desk Organizer,Office Supplies,Desk Supplies,OrganizeIt,Store,13,523.66,0.2,20,1361.52,104.7323076923077,288.01,6807.58,5446.06,418.9276923076923,3744.13,1701.93,130.9176923076923,0.3125066561881433,Thursday
ORD00008,2024-01-29,2024,Q1,1,January,2024-01,CUS0134,Fiyaz Sangha,Consumer,2022-02-26,702,1.921971252566735,Kanpur,Uttar Pradesh,North,PROD026,Desk Organizer,Office Supplies,Desk Supplies,OrganizeIt,Online,2,518.09,0.1,10,103.62,51.81,284.95,1036.18,932.56,466.28,569.9,362.66,181.33,0.3888865059620829,Monday
ORD00009,2025-03-25,2025,Q1,3,March,2025-03,CUS0875,Udant Mohanty,Corporate,2024-07-30,238,0.6516084873374401,Delhi,Delhi,North,PROD002,Mechanical Keyboard,Electronics,Computer Accessories,NovaTech,Store,2,2935.86,0.1,10,587.17,293.585,1761.52,5871.72,5284.55,2642.275,3523.04,1761.51,880.755,0.3333320717941925,Tuesday
ORD00010,2024-07-18,2024,Q3,7,July,2024-07,CUS0944,Garima Solanki,Corporate,2024-02-03,166,0.4544832306639288,Lucknow,Uttar Pradesh,North,PROD037,Wall Clock,Home & Lifestyle,Home Essentials,HomeEase,Store,8,930.07,0.15,15,1116.08,139.51,539.44,7440.56,6324.48,790.56,4315.52,2008.96,251.12,0.3176482493422385,Thursday
ORD00011,2023-05-27,2023,Q2,5,May,2023-05,CUS0615,Pallavi Purohit,Small Business,2021-08-18,647,1.771389459274469,Vadodara,Gujarat,West,PROD047,Football,Sports & Fitness,Sports Accessories,SportMax,Store,4,916.52,0.1,10,366.61,91.6525,522.42,3666.08,3299.47,824.8675,2089.68,1209.79,302.4475,0.3666619184293235,Saturday
ORD00012,2024-03-25,2024,Q1,3,March,2024-03,CUS0818,Lakshmi Pingle,Small Business,2022-08-03,600,1.642710472279261,Kanpur,Uttar Pradesh,North,PROD043,Resistance Bands,Sports & Fitness,Fitness Equipment,ActiveLife,Online,3,790.36,0.05,5,118.55,39.51666666666667,418.89,2371.08,2252.53,750.8433333333334,1256.67,995.86,331.9533333333333,0.4421073193253808,Monday
ORD00013,2024-10-24,2024,Q4,10,October,2024-10,CUS0866,Mason Varughese,Corporate,2023-01-17,646,1.768651608487337,Warangal,Telangana,South,PROD010,Soundbar,Electronics,Audio,AudioWave,Online,15,8578.89,0.05,5,6434.17,428.9446666666666,5490.49,128683.35,122249.18,8149.945333333333,82357.35,39891.83,2659.455333333333,0.3263157266167348,Thursday
ORD00014,2024-10-06,2024,Q4,10,October,2024-10,CUS0641,Chameli Chad,Small Business,2022-02-21,958,2.622861054072553,Delhi,Delhi,North,PROD013,Computer Desk,Furniture,Office Furniture,WorkPro,Store,2,8053.74,0.05,5,805.37,402.685,5396.01,16107.48,15302.11,7651.055,10792.02,4510.09,2255.045,0.2947364775184599,Sunday
ORD00015,2023-10-29,2023,Q4,10,October,2023-10,CUS0362,Zaitra Dash,Consumer,2023-06-05,146,0.3997262149212868,Coimbatore,Tamil Nadu,South,PROD012,Executive Office Chair,Furniture,Office Furniture,WorkPro,Store,2,12171.42,0.05,5,1217.14,608.57,8276.57,24342.84,23125.7,11562.85,16553.14,6572.56,3286.28,0.2842102076910105,Sunday
ORD00016,2025-05-27,2025,Q2,5,May,2025-05,CUS0451,Janani Mani,Consumer,2021-08-17,1379,3.775496235455168,Delhi,Delhi,North,PROD034,Water Bottle,Home & Lifestyle,Kitchen,LifePlus,Online,1,683.39,0.1,10,68.34,68.34,375.86,683.39,615.05,615.05,375.86,239.19,239.19,0.3888952117714007,Tuesday
ORD00017,2025-10-24,2025,Q4,10,October,2025-10,CUS0957,Yuvraj Mahal,Corporate,2024-05-21,521,1.426420260095825,New Delhi,Delhi,North,PROD031,Electric Kettle,Home & Lifestyle,Kitchen,HomeEase,Online,8,1889.56,0.15,15,2267.47,283.43375,1171.53,15116.48,12849.01,1606.12625,9372.24,3476.77,434.59625,0.2705866055050156,Friday
ORD00018,2025-07-15,2025,Q3,7,July,2025-07,CUS0720,Jhalak Dugar,Small Business,2023-03-04,864,2.365503080082136,Bengaluru,Karnataka,South,PROD015,Folding Table,Furniture,Office Furniture,HomeSpace,Online,1,4346.99,0.0,0,0.0,0.0,2782.07,4346.99,4346.99,4346.99,2782.07,1564.92,1564.92,0.360000828159255,Tuesday
ORD00019,2024-05-29,2024,Q2,5,May,2024-05,CUS0807,Nitesh Saraf,Small Business,2022-05-04,756,2.069815195071869,Hyderabad,Telangana,South,PROD005,Webcam,Electronics,Computer Accessories,ViewPro,Store,7,2492.01,0.15,15,2616.61,373.8014285714286,1545.05,17444.07,14827.46,2118.208571428571,10815.35,4012.11,573.1585714285715,0.2705864659220123,Wednesday
ORD00020,2024-06-30,2024,Q2,6,June,2024-06,CUS0988,Ekani Raj,Corporate,2021-12-19,924,2.529774127310062,Warangal,Telangana,South,PROD005,Webcam,Electronics,Computer Accessories,ViewPro,Store,15,2403.64,0.05,5,1802.73,120.182,1490.26,36054.6,34251.87,2283.458,22353.9,11897.97,793.198,0.347367019669291,Sunday
ORD00021,2024-03-30,2024,Q1,3,March,2024-03,CUS0902,Omaja Sawhney,Corporate,2024-03-27,3,0.008213552361396304,Mysuru,Karnataka,South,PROD023,Notebook,Office Supplies,Writing & Paper,PaperPlus,Online,7,173.85,0.05,5,60.85,8.692857142857143,90.4,1216.95,1156.1,165.1571428571428,632.8,523.3,74.75714285714285,0.4526425049736182,Saturday
